expectation,Question,1,2,3,4,N
"ISCED lv5B","outsider",3078,3380,543,223,7224
"ISCED lv5B","awkward",2785,3516,698,203,7202
"ISCED lv5B","lonely",187,902,4943,1154,7186
"ISCED lv5B","happy",3469,3118,449,160,7196
"ISCED lv5B","school ideal",258,1000,4347,1581,7186
