expectation,salary,motherQualification,motherFrequency,fatherQualification,fatherFrequency
"ISCED lv5A,6","<$C> or more but less than <$D>","ISCED lv5A,6",2150,"ISCED lv5A,6",2042
"ISCED lv5A,6","<$D> or more but less than <$E>","None",473,"None",470
"ISCED lv5A,6","<$D> or more but less than <$E>","ISCED lv3A",342,"ISCED lv3A",373
"ISCED lv5A,6","<$D> or more but less than <$E>","ISCED lv4",152,"ISCED lv4",125
"ISCED lv5A,6","<$D> or more but less than <$E>","ISCED lv5B",100,"ISCED lv5B",110
"ISCED lv5A,6","<$D> or more but less than <$E>","ISCED lv5A,6",1781,"ISCED lv5A,6",1756
"ISCED lv5A,6","<$E> or more","None",833,"None",799
"ISCED lv5A,6","<$E> or more","ISCED lv3A",1805,"ISCED lv3A",2280
"ISCED lv5A,6","<$E> or more","ISCED lv4",611,"ISCED lv4",373
"ISCED lv5A,6","<$E> or more","ISCED lv5B",467,"ISCED lv5B",369
"ISCED lv5A,6","<$E> or more","ISCED lv5A,6",4443,"ISCED lv5A,6",4342
