expectation,Question,1,2,3,4,N
"ISCED lv5A,6","outsider",19799,18116,2903,1087,41905
"ISCED lv5A,6","awkward",18697,18918,3296,921,41832
"ISCED lv5A,6","lonely",727,4018,28405,8655,41805
"ISCED lv5A,6","happy",21966,16589,2524,765,41844
"ISCED lv5A,6","school ideal",1214,5189,23693,11675,41771
