expectation,Question,1,2,3,4,N
"ISCED lv3A","ST87Q01",4094,4079,779,392,9344
"ISCED lv3A","ST87Q04",3635,4256,1077,356,9324
"ISCED lv3A","ST87Q05",255,1151,6075,1830,9311
"ISCED lv3A","ST87Q06",4667,3722,653,277,9319
"ISCED lv3A","ST87Q07",482,1477,5103,2244,9306
