expectation,Question,1,2,3,4,N
"ISCED lv3B,C","outsider",1103,1172,300,163,2738
"ISCED lv3B,C","awkward",1002,1176,422,134,2734
"ISCED lv3B,C","lonely",86,286,1753,602,2727
"ISCED lv3B,C","happy",1284,1084,249,115,2732
"ISCED lv3B,C","school ideal",171,409,1470,677,272
