expectation,Question,1,2,3,4,N
"ISCED lv4","ST87Q01",1513,1752,338,133,3736
"ISCED lv4","ST87Q04",1423,1779,399,121,3722
"ISCED lv4","ST87Q05",114,472,2538,580,3704
"ISCED lv4","ST87Q06",1725,1622,273,105,3725
"ISCED lv4","ST87Q07",179,588,2215,727,3709
