expectation,Question,1,2,3,4,N
"ISCED lv2","ST87Q01",406,421,185,99,1111
"ISCED lv2","ST87Q04",398,428,188,85,1099
"ISCED lv2","ST87Q05",43,130,627,300,1100
"ISCED lv2","ST87Q06",462,422,144,70,1098
"ISCED lv2","ST87Q07",50,132,580,339,1101
